wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
6696.015	6696.018	0.0135	2.0	1000000.0	C+	u36,LS	L4737	3.1427212  -    4.9938210	3.1427212	-1.5686362358410126	18.0	6696.015
6698.673	6698.667	0.00675	2.0	1000000.0	C+	u36,LS	L4737	3.1427212  -    4.9930889	3.1427212	-1.869666231504994	18.0	6698.673
6785.2	6784.242		6.0				L7415	4.0216502  -   [5.848678]	4.0216502			6785.2
	6905.638	0.0116	4.0	1080000.0	D	u36,LS		4.0214836  -   [5.816394]	4.0214836	-1.3334820194451191	50.0	6905.638
	6906.279	0.00055	6.0	76900.0	E	u36,LS		4.0216502  -   [5.816394]	4.0216502	-2.4814860601221125	100.0	6906.279
6906.4	6906.279	0.011	6.0	1150000.0	C	u36,LS	L7415	4.0216502  -   [5.816394]	4.0216502	-1.1804560644581312	25.0	6906.4
7083.968	7083.969	0.0174	4.0	1540000.0	C+	u36,LS	L4737	4.0214836  -    5.7712093	4.0214836	-1.157390760389438	18.0	7083.968
	7084.643	0.000831	6.0	110000.0	E	u36,LS		4.0216502  -    5.7712093	4.0216502	-2.3022477258322454	100.0	7084.643
7084.644	7084.643	0.0166	6.0	1650000.0	C+	u36,LS	L4737	4.0216502  -    5.7712093	4.0216502	-1.0017406615763014	18.0	7084.644
	7327.472	0.00589	2.0	366000.0	D	u36,LS		4.0852554  -   5.776835	4.0852554	-1.9288547095489172	50.0	7327.472
	7335.645	0.00529	4.0	437000.0	C	u36,LS		4.0872183  -   5.776914	4.0872183	-1.6744843366368518	25.0	7335.645
	7335.985	0.000588	4.0	72800.0	E	u36,LS		4.0872183  -   5.776835	4.0872183	-2.628562682595899	100.0	7335.985
7361.568	7361.568	0.0283	4.0	2320000.0	C+	u36,LS	L4737	4.0214836  -   5.7052289	4.0214836	-0.9461535731477474	18.0	7361.568
	7362.296	0.00135	6.0	166000.0	D	u36,LS		4.0216502  -   5.7052289	4.0216502	-2.0915149811213505	50.0	7362.296
7362.297	7362.296	0.027	6.0	2490000.0	C+	u36,LS	L4737	4.0216502  -   5.7052289	4.0216502	-0.790484985457369	18.0	7362.297
7554.162	7554.164		2.0				L4737	4.0852554  -   5.7260732	4.0852554			7554.162
7563.214	7563.212		4.0				L4737	4.0872183  -   5.7260732	4.0872183			7563.214
7606.159	7606.162	0.00756	2.0	436000.0	D	u36,LS	L4737	4.0852554  -   5.7148562	4.0852554	-1.8204482088348122	50.0	7606.159
