wavelength_air_A,band,ion,ew_mA,a_banked,a_control,a_labgf,d_A,d_loggf,lab_source,lab_sigma_dex,note
4787.8264,VIS,I,53.373410681502655,7.55078125,7.55078125,7.568359375,0.017578125,-0.0900000000000003,DenHartog2014,0.06,
5379.5734,VIS,I,67.65803003345668,7.5859375,7.5859375,7.498046875,-0.087890625,0.09400000000000008,Belmonte2017,0.03,
5532.7462,VIS,I,66.44469201610461,7.357421875,7.357421875,7.287109375,-0.0703125,0.26,Belmonte2017,0.06,
5618.632,VIS,I,59.252497142566334,7.41015625,7.41015625,7.392578125,-0.017578125,0.026000000000000023,DenHartog2014,0.03,
6627.5434,VIS,I,32.177172688690646,7.62109375,7.62109375,7.62109375,0.0,0.08999999999999986,Ruffoni2014,0.1,
6705.1169,VIS,I,52.52055955339996,7.322265625,7.322265625,7.322265625,0.0,0.5119999999999999,Ruffoni2014,0.04,
6725.3553,VIS,I,20.68658287956461,7.4013671875,7.4013671875,7.4013671875,0.0,0.19999999999999973,Ruffoni2014,0.1,
6841.3381,VIS,I,85.9893488264743,7.5859375,7.5859375,7.5859375,0.0,0.26,Ruffoni2014,0.03,
6843.6549,VIS,I,69.16406174114157,7.4453125,7.4453125,7.4453125,0.0,0.20000000000000007,Ruffoni2014,0.03,
6916.6795,IR,I,73.41843470455511,7.62109375,7.62109375,7.62109375,0.0,0.16999999999999993,Ruffoni2014,0.03,
6977.4283,IR,I,45.82662742462324,7.5771484375,7.5771484375,7.498046875,-0.0791015625,0.14400000000000013,Belmonte2017,0.05,
6999.883,IR,I,65.4438695121653,7.55078125,7.55078125,7.55078125,0.0,0.18000000000000016,Ruffoni2014,0.03,
7071.8597,IR,I,40.14999343200292,7.65625,7.65625,7.65625,0.0,0.53,Ruffoni2014,0.13,
7219.6816,IR,I,53.32420910750482,7.638671875,7.638671875,7.41015625,-0.228515625,0.26,Belmonte2017,0.04,
7306.5617,IR,I,50.68003845309946,7.427734375,7.427734375,7.427734375,0.0,0.31000000000000005,Ruffoni2014,0.03,
7307.9306,IR,I,89.0798325738838,7.744140625,7.744140625,7.515625,-0.228515625,0.381,Belmonte2017,0.03,
7443.0217,IR,I,46.9167343219246,7.638671875,7.638671875,7.498046875,-0.140625,0.18000000000000016,Belmonte2017,0.06,
7491.6468,IR,I,76.08734883192459,7.55078125,7.55078125,7.55078125,0.0,-0.16000000000000003,DenHartog2014,0.03,
7568.8981,IR,I,88.12886814419954,7.498046875,7.498046875,7.498046875,0.0,-0.10699999999999998,DenHartog2014,0.03,
7710.3626,IR,I,80.62427968194675,7.322265625,7.322265625,7.322265625,0.0,0.04299999999999993,DenHartog2014,0.03,
8207.7414,IR,I,75.74520771737794,7.515625,7.515625,7.515625,0.0,-0.10399999999999998,DenHartog2014,0.03,
8248.1281,IR,I,77.22124963660823,7.796875,7.796875,7.796875,0.0,-0.33799999999999997,Ruffoni2014,0.05,
8360.7934,IR,I,66.49877278259869,7.533203125,7.533203125,7.533203125,0.0,0.5879999999999999,DenHartog2014,0.04,
8471.7428,IR,I,42.77878828173769,7.48046875,7.48046875,7.48046875,0.0,0.10899999999999987,Ruffoni2014,0.03,
8598.8187,IR,I,68.21043011193062,7.55078125,7.55078125,7.568359375,0.017578125,-0.11099999999999999,DenHartog2014,0.03,
8699.454,IR,I,77.03800289529578,7.41015625,7.41015625,7.41015625,0.0,0.010000000000000009,Ruffoni2014,0.02,
8784.4404,IR,I,35.38905769608807,7.533203125,7.533203125,7.515625,-0.017578125,0.45300000000000007,DenHartog2014,0.12,
8846.7398,IR,I,59.29911046389517,7.515625,7.515625,7.427734375,-0.087890625,0.22099999999999997,DenHartog2014,0.04,
8945.1747,IR,I,83.96713962983353,7.515625,7.515625,7.515625,0.0,-0.010000000000000009,Ruffoni2014,0.03,
