wave_A,loggf,ep_eV,strength,theo_depth,half_width_A,status,reason,a_synth,red_chi2,n_pix,cont_ratio
3000.468,-2.266,2.6085,-4.543692307692307,0.899,0.4,ok,,8.307,88.024,488,0.9135658235860395
3006.605,-2.334,2.5592,-4.568644490644491,0.896,0.4,ok,,6.837,305.409,243,0.7144410423072728
3031.476,-2.262,2.5881,-4.521879417879418,0.898,0.4,ok,,7.458,77.687,239,0.8424624480030258
3087.431,-1.465,3.241,-4.294979209979211,0.898,0.4,ok,,7.392,891.296,230,1.6617122837833163
3099.921,-1.322,3.332,-4.23143866943867,0.9,0.4,ok,,8.284,122.235,228,1.0946959024455438
3110.108,-1.277,3.3965,-4.242758835758836,0.897,0.4,ok,,7.069,394.27,227,1.0727254520662344
3123.199,-2.299,2.4327,-4.4231871101871105,0.9,0.4,ok,,7.022,999.515,225,1.3248291220528268
3162.329,-2.244,2.4496,-4.382943866943867,0.898,0.4,ok,,7.506,64.406,219,1.129554701791753
3175.31,-3.296,1.4849,-4.592586278586278,0.9,0.4,ok,,8.04,528.855,218,1.5090442493508407
3225.606,-2.185,2.4327,-4.309187110187111,0.898,0.4,ok,,8.198,77.471,211,1.0127468304095704
3249.191,-2.004,2.5592,-4.238644490644491,0.898,0.4,ok,,8.047,126.31,207,1.037876553953382
3253.942,-1.971,2.6085,-4.248692307692307,0.896,0.4,ok,,7.249,119.781,208,1.084164906234272
3261.325,-0.984,3.417,-3.9676590436590438,0.9,0.4,ok,,7.51,62.337,206,1.0775077137908935
3292.033,-1.422,3.0176,-4.056910602910603,0.898,0.4,ok,,8.38,142.707,202,1.0547537356353696
3312.698,-1.564,2.8581,-4.059638253638253,0.899,0.4,ok,,8.165,258.988,206,0.9944056592999717
3334.218,-2.046,2.4327,-4.17018711018711,0.898,0.4,ok,,7.558,462.217,204,1.3229634058720077
3387.405,-1.579,2.7586,-3.987756756756757,0.899,0.4,ok,,7.719,78.383,197,1.032042411524266
3393.588,-1.58,2.7586,-3.988756756756757,0.899,0.4,ok,,7.328,82.845,197,0.9138277730063887
3439.035,-1.556,2.7275,-3.937600831600832,0.899,0.4,ok,,7.535,51.808,192,0.993299691287767
3457.086,-0.556,3.6025,-3.701634095634096,0.896,0.4,ok,,7.223,44.509,190,1.0736858378032634
3469.83,-1.633,2.6085,-3.9106923076923077,0.9,0.4,ok,,7.469,79.51,188,1.0350433700927801
3476.344,-0.465,3.6025,-3.610634095634096,0.9,0.4,ok,,7.293,61.261,188,0.9789150881387553
3509.862,-2.07,2.2227,-4.010819126819127,0.897,0.4,ok,,6.998,81.941,184,0.9023525336020747
3559.503,-0.97,3.0713,-3.651800415800416,0.9,0.4,ok,,7.746,124.533,179,1.025155887779219
3572.59,-1.244,2.8512,-3.7336133056133054,0.898,0.4,ok,,7.199,79.704,177,0.9953654208158618
3576.758,-0.78,3.2671,-3.632769230769231,0.896,0.4,ok,,8.4,405.872,177,1.181500480022905
3599.625,-0.39,3.5732,-3.5100498960498965,0.896,0.4,ok,,7.607,523.518,180,1.2065362715347168
3617.318,-0.493,3.4149,-3.4748253638253637,0.9,0.4,ok,,7.476,136.719,173,0.9412278196622059
3624.28,0.062,3.8835,-3.3289979209979217,0.899,0.4,ok,,7.406,131.901,173,1.0244951996111211
3632.555,-1.03,2.9488,-3.604835758835759,0.899,0.4,ok,,7.648,137.384,172,1.0078535900229106
3636.994,-1.456,2.5881,-3.715879417879418,0.899,0.4,ok,,7.247,103.95,172,0.9480662286260857
3643.715,-1.439,2.6085,-3.7166923076923077,0.898,0.4,ok,,7.252,27.68,170,0.9972202061969614
3650.098,0.069,3.9841,-3.409839916839917,0.899,0.4,ok,,7.048,307.509,170,0.8502486591745332
3656.21,-0.76,3.274,-3.618794178794179,0.899,0.4,ok,,7.498,61.788,169,1.089537585221246
3664.537,-1.071,2.998,-3.688796257796258,0.899,0.4,ok,,7.638,282.26,169,1.2394935956940125
3680.784,0.098,3.9841,-3.3808399168399172,0.898,0.4,ok,,7.781,137.521,297,1.0068858327823973
3703.821,-1.201,2.8581,-3.6966382536382536,0.898,0.4,ok,,7.39,41.999,165,0.8527827923965873
3731.373,-1.453,2.6085,-3.7306923076923075,0.898,0.4,ok,,7.772,116.145,162,0.9820497069644213
3756.937,-0.25,3.5732,-3.3700498960498964,0.9,0.4,ok,,7.397,63.957,161,1.0088703757939779
3778.793,-0.617,3.2671,-3.469769230769231,0.898,0.4,ok,,7.005,66.93,159,0.9447380831478475
